epoch,train_loss,train_accuracy,train_precision_macro,train_recall_macro,train_f1_macro,val_loss,val_accuracy,val_precision_macro,val_recall_macro,val_f1_macro,lr,epoch_time_sec
1,1.1961170761549533,0.5351635252924085,0.5317929122834115,0.5379713942161516,0.5328094789981926,0.8806447349111586,0.683371298405467,0.7421158249722447,0.6760316406442343,0.6529360442153617,0.001,159.79452800750732
2,0.7034123152503311,0.7356403188556955,0.7398509605037226,0.7369008809981942,0.7372367272161314,0.29360723984457215,0.8992660086054164,0.906356195240316,0.8970395099119717,0.8986324209367798,0.001,153.360990524292
3,0.5254947549272097,0.803061908664233,0.806805603696267,0.8034823804521234,0.8042266652169658,0.24263911744773198,0.9121741331308529,0.9179110955245918,0.9108804277363437,0.9094530504396953,0.001,154.1044638156891
4,0.43807517576238075,0.8332712508381137,0.836932636931997,0.833439694071688,0.8342756062969362,0.10359363151782329,0.967603138445963,0.9678037249783439,0.9671322302311872,0.9672362649869167,0.001,153.19721341133118
5,0.3886942023557513,0.8536839752663339,0.8572757406244281,0.8536148991751449,0.8545037499449816,0.10481435797780458,0.9655783345988357,0.9651132312974201,0.965565631757925,0.9652254139306163,0.001,153.50020027160645
6,0.33905482494827976,0.8723087238322282,0.8747764965697411,0.872278696388692,0.8729471316536627,0.08177417576598474,0.9719058466211086,0.9721445677460739,0.9709491763427933,0.9713837720176807,0.001,153.44434762001038
7,0.31622367138326823,0.8802428667212993,0.8822771372348376,0.8801297387994649,0.8807134709618336,0.09472230192875172,0.967603138445963,0.9677257338920069,0.9664305045092898,0.9667765816602983,0.001,153.2367980480194
8,0.28743397222934114,0.8905982269239365,0.8919322224674837,0.8905311950960995,0.8909338106479261,0.06552697925360194,0.9784864591242723,0.9787412151514875,0.9776871088660108,0.9780863708381377,0.001,153.08280181884766
9,0.26297955739690076,0.9020710720405275,0.9032715032317706,0.90198936232105,0.9023921504510092,0.04981542990401893,0.9845608706656542,0.984300901718357,0.9840785953743021,0.9841677438283036,0.001,153.65969729423523
10,0.24364701710052464,0.908328987558668,0.9092405713407619,0.9082306930893337,0.9085335947570156,0.057021274133228946,0.9800050620096178,0.9801894863548534,0.979396077005504,0.9797004829776227,0.001,152.46924948692322
11,0.22411807835660472,0.9154436415108396,0.9162611281156602,0.9153955939537161,0.9157036022628673,0.04392870256494145,0.985320172108327,0.9850181037862976,0.9851857693308662,0.9850934214630273,0.001,153.16931200027466
12,0.21037511521925248,0.922074052000298,0.9225489018563446,0.9221017274653028,0.9222631732566476,0.04259004077136223,0.9843077701847633,0.9842221846204745,0.9841523801666483,0.9841385502410317,0.001,153.41395783424377
13,0.19707913743862807,0.9277732250614616,0.9282413713514951,0.9277920716726756,0.9279604210519183,0.05017075590131217,0.9840546697038725,0.9839473011742855,0.9838014913775789,0.9838159375981074,0.001,153.0827534198761
14,0.18307043524688799,0.9327646576771214,0.9332715264811647,0.9327455291616403,0.9329525387585104,0.04855407027775021,0.9850670716274361,0.9848090515844178,0.9850812527362957,0.984874794901429,0.001,153.07127404212952
15,0.1707503253244075,0.9374953438128585,0.9379481980184735,0.9375695039930371,0.9377284327953372,0.03895176553844805,0.9888635788407998,0.9886954441602541,0.988739244190792,0.9887112495444911,0.001,154.31392216682434
16,0.15679129005803802,0.9421515309543321,0.942509827207036,0.9422129995534086,0.9423409602123471,0.05414061891028669,0.9827891672994179,0.9829812166992163,0.9822879059510967,0.9824231185970569,0.001,153.00652194023132
17,0.14759766306651248,0.9463234746330924,0.9466427678408246,0.9463843188732209,0.9464924543541894,0.04272408485143002,0.9875980764363452,0.987575464326422,0.9872718509315703,0.9874096643458995,0.001,154.19562029838562
18,0.1393026627337337,0.9498621768606124,0.9501566092790882,0.9499120509044939,0.9500191729006363,0.04338604408812781,0.9863325740318907,0.9863426278188774,0.9858825138521253,0.9860741532357693,0.001,153.35965037345886
19,0.13249495088720933,0.9529166356254191,0.9531813271255015,0.9529565919081894,0.9530577337921925,0.04067329996283381,0.9865856745127816,0.9864074594705688,0.9862176649174912,0.9863064084396466,0.0005,153.53159523010254
20,0.08511793819588609,0.9692691648662743,0.9694708071540933,0.9692980946089579,0.9693769160859991,0.037424638984161866,0.9898759807643635,0.9896704235021162,0.989664438532028,0.9896548288292157,0.0005,153.44531416893005
21,0.0738599857588576,0.9739253520077479,0.9741012554778988,0.9739618788460107,0.9740254866503294,0.039774813303283946,0.9906352822070362,0.9905441417322262,0.9903201830230701,0.9904099981725741,0.0005,153.2550356388092
22,0.06883019536763392,0.9754153318930194,0.9755418759147106,0.9754675113417582,0.9755028687016375,0.03725411867087431,0.9896228802834726,0.9895057851927117,0.9892654343517432,0.9893715227386596,0.0005,153.27945470809937
23,0.06734347305884773,0.9755270803844148,0.9756961864116613,0.9755550779158059,0.9756210716809983,0.040331866526437936,0.9908883826879271,0.9907352259360883,0.9907142033142393,0.9907166505943551,0.0005,153.41510367393494
24,0.06156160747915725,0.9783952916635625,0.9785331710054929,0.9784738466871309,0.9785016665411205,0.03341777701977739,0.9916476841305999,0.9914229755880534,0.9914549799213086,0.9914376664215726,0.0005,154.0011305809021
25,0.05576834067776069,0.9805185130000745,0.9806314177264671,0.9805755150890283,0.9806016099885605,0.03609736129439137,0.9913945836497089,0.9912682041348772,0.9911744248807054,0.9912125174795731,0.0005,153.38657999038696
26,0.054056674149643234,0.980965506965656,0.9811032294131597,0.9809949413279725,0.9810464331281236,0.0399902679011853,0.9898759807643635,0.9896897440443372,0.9895002958544202,0.9895870268512437,0.0005,153.65418982505798
27,0.0513512186964951,0.9820829918796097,0.982115477759702,0.9821533651413582,0.9821336303914681,0.03977956476785275,0.9901290812452543,0.9899166929561206,0.989858483192607,0.9898771883228191,0.0005,152.61766028404236
28,0.04971093007161242,0.9820457423824779,0.9821331731255268,0.9820919627885059,0.9821102930229832,0.0374329076862108,0.9921538850923817,0.9920252421115933,0.991938120852745,0.9919740435200212,0.00025,153.82559418678284
29,0.031980972614865946,0.988713402369068,0.9887724044015259,0.9887225394264855,0.9887466793039245,0.04682611644802509,0.9924069855732726,0.9921805446026931,0.9921817973244332,0.9921788026701006,0.00025,153.4144835472107
30,0.027149506124711086,0.9910601206883707,0.9911081508995215,0.9911068106544532,0.9911071373057719,0.0416790450557015,0.9931662870159453,0.9930370551234112,0.9929923635632938,0.993008326233955,0.00025,153.20496678352356
